track_id,track_name,artists,album_name,album_id
7od22pmztVH9YfpzZ0205R,Tum Naraz Ho,Sajjad Ali,Coke Studio Season 7,5elvcVsva6W0tlh6cq9gyv
7MnG9O1elO5CgovlcPFDha,Washmallay,"Komal Rizvi, Akhtar Chanal Zahri, Momin Durrani",Coke Studio Season 7,5elvcVsva6W0tlh6cq9gyv
4XF9fk0STp9hx8xn5Suwpz,GTA,"Future, Metro Boomin",WE DON'T TRUST YOU,4iqbFIdGOTzXeDtt9owjQn
2GLWhy9iiO1wrLUF5l4FtJ,Slimed In,"Future, Metro Boomin",WE DON'T TRUST YOU,4iqbFIdGOTzXeDtt9owjQn
2tudvzsrR56uom6smgOcSf,Like That,"Future, Metro Boomin, Kendrick Lamar",WE DON'T TRUST YOU,4iqbFIdGOTzXeDtt9owjQn
6V4N3h4HYD1Ask9cUTxjjg,Long time no see,"Taimour Baig, Raffey Anwar, AUR",Long time no see,5qBulMP2DP48SEyNwsXY79
2lX53kXvYnvpV8Vqfe4S7s,Sadqay,"Aashir Wajahat, NAYEL, Nehaal Naseem",Sadqay,6DCDw6OlKLmVlVrp9J6YWD
6xIhjZX1ZtFIXg1IDa3DAi,Bulleya,"Asim Azhar, Shae Gill",Bulleya,3c7tSHkLyybTCmtaNlYLSJ
3OxL6MuctgZp1e0zxoAZhH,Young Metro,"Future, Metro Boomin, The Weeknd",WE DON'T TRUST YOU,4iqbFIdGOTzXeDtt9owjQn
1pnDvUuAEd6z8bKEsbAjk1,We Don't Trust You,"Future, Metro Boomin",WE DON'T TRUST YOU,4iqbFIdGOTzXeDtt9owjQn
28drn6tQo95MRvO0jQEo5C,Type Shit,"Future, Metro Boomin, Travis Scott, Playboi Carti",WE DON'T TRUST YOU,4iqbFIdGOTzXeDtt9owjQn
70ToiXlzl8N1EgfC07ZcZE,Ice Attack,"Future, Metro Boomin",WE DON'T TRUST YOU,4iqbFIdGOTzXeDtt9owjQn
7qZuRt0v6zox5gMAMCls5M,What I Am,ZAYN,What I Am,3Q9nQTbbZovRJQfY62oXR0
