track_id,track_name,artists,album_name,album_id
0VpEX8ib3wE7u8NOw4szU6,Eyes Off You,PRETTYMUCH,Phases - EP,2eiprRNqzj5s3IPLvKsF6z
6J2LdBN97cDWn0MLxYh9HB,July,Noah Cyrus,THE END OF EVERYTHING,5Gn3fFzlWL89j0hGumtXb5
0qJO8QgG5C8mUyPA827c8R,Jannat,Mitraz,Jannat,4Bx8C5p2ElDIYTokkN7Ghz
6Xa2rrTpSLkpx887Y115mO,Butterflies,Abe Parker,Butterflies,2x3wUvuuBFYY0XEcm3Xp1U
7naseusM9pguk5GYGzYQCn,Love Me,RealestK,Dreams 2 Reality,63csfi2IBLJh9kozmsThfd
5YyXq5rzZyyEbNptsLFz3W,Khwahish,"Mitraz, Arooh",Khwahish,3wKQrDBnWrzHlJHZpULojv
5BKKKNwrebowaMoUdBaNby,Tu Aake Dekhle,King,The Carnival,5eF8So0MxcSwx5mWSG93QE
5ubHAQtKuFfiG4FXfLP804,Lego House,Ed Sheeran,+,02pi98kE0nra0yBqCStzbC
1d5lpW3gUyq537iuyrb9Lf,Samjho Na,Aditya Rikhari,Samjho Na,6qe761tZyhwboJVLXlXJ7B
5HO2RD12vZ5NcIdAULo43M,Best,Gracie Abrams,Good Riddance (Deluxe),78YYcghEDz2dHRx0EcDGXZ
0A1DZSozhyiAiUoja2onGk,Heart,"OTR, Shallou",Lost At Midnight,2ipEAI9zGgsbf0CSkYBVS6
1BKpgXxb9OgZfmQsHRcbls,Heart (feat. Madeline),"Forester, Madeline Megery",Heart (feat. Madeline),60TLg9E2U94FbEzeYJviHA
3rmqiQbzPDx7A8p88IRFKg,Love U Like That,Lauv,Love U Like That,4L1fTiCm419aQYUbfRJ3mA
3wrCg7ZkpuErUPpk1jHhRX,Everything You Want,Taska Black,Expectations (Deluxe),2HiF1JDaL3sj4IzK9baQlA
2u1SB650JRnVqOvJzqnW35,sound off,44phantom,"die sometime, it's good for u",04JMztBf0vX3JfxKIaifGa
4ot6NKbgd0YW7wWjt7OEUk,heartbeats,Hanniou,heartbeats,4wdhyoEc9R10ELjrC8LSdT
4hFZF8l3pJfFOtXs7K0nUJ,world,Zeph,crush (demos),6yngFpZeMWDDIz2Mlk4ToP
7uo2L5FAja3pWIBa3HJVeC,could you love me while i hate myself,Zeph,scared of everything,6qf1Qjmib5fOTb18Ju6uA9
1dQQ2QlnvXUehsRUrukKmf,Right Now,One Direction,Midnight Memories (Deluxe),7p1fX8aUySrBdx4WSYspOu
4nVBt6MZDDP6tRVdQTgxJg,Story of My Life,One Direction,Midnight Memories (Deluxe),7p1fX8aUySrBdx4WSYspOu
3P9pRL7V9yM9DhY6NGZjzA,Love Like This,ZAYN,Love Like This,5IFyTHAafGhBc6YmARuzt7
1wnVtgMo9DNEok7hiktu7Y,Dancing on a Dream (feat. Swae Lee),"Majid Jordan, Swae Lee",Wildest Dreams,2ZdYh11KscDPsVKtxQY0ev
5phAnst6hVsaKFKsFPlLaZ,Good Intentions,RINI,After the Sun,2o7NqE3uyImeUimjeCcFYz
5WedFiLoUyE1e9d5JpxMFl,Reputation,Post Malone,Twelve Carat Toothache (Deluxe),50MzJhO0pMjTsfpeOmZ1so
0Zs2AgKKvGcQ55ciaAgJd2,Tonight,ZAYN,Icarus Falls,1DF9B2hfwX4EdgEFwGcRwh
5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),4QLAtpLNUsHEYrcHXmMIZZ
0PKjvdyNNzkmhtBR4vBsrT,ME BECAUSE OF YOU,HRVY,ME BECAUSE OF YOU,1ZhhGxz8conPbSTREWccwC
1uIwVtzdG5tZT32O9wdXk9,Told You So,HRVY,Told You So,3wWxDWxgdDiQOrkMnLXOf5
5ejT19NfiINj4cFmjRHwAC,Love To Lay,The Weeknd,Starboy (Deluxe),35dut3ICqF3NEDkjxfzJJ1
4QYEtbfsqusrXN5A49LG53,Six Feet Under,The Weeknd,Starboy (Deluxe),35dut3ICqF3NEDkjxfzJJ1
2QRvliBEcGIEgTrjVfxmXo,True Colors,The Weeknd,Starboy (Deluxe),35dut3ICqF3NEDkjxfzJJ1
